ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE ATENDIMENTO ESCOLAR EM UNIDADES DO SISTEMA SOCIOEDUCATIVO;ATENDIMENTO ESCOLAR EM UNIDADES DO SISTEMA SOCIOEDUCATIVO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE ATENDIMENTO ESCOLAR EM UNIDADES PRISIONAIS ;ATENDIMENTO ESCOLAR EM UNIDADES PRISIONAIS
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE EDUCAÇÃO EM AMBIENTE HOSPITALAR E DOMICILIAR;EDUCAÇÃO EM AMBIENTE HOSPITALAR E DOMICILIAR
ANÁLISE TECNICO-PEDAGÓGICA SOBRE O CUMPRIMENTO DAS METAS DO ÍNDICE DE DESENVOLVIMENTO DA EDUCAÇÃO (IDEB) E DA AVALIAÇÃO NACIONAL DE ALFABETIZAÇÃO (ANA);" METAS DO ÍNDICE DE DESENVOLVIMENTO DA EDUCAÇÃO; IDEB; ANA"
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE O CUMPRIMENTO DAS METAS DO PLANO MUNICIPAL DE EDUCAÇÃO;"PME; PLANO MUNICIPAL DE EDUCAÇÃO"
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE AS ESTRATÉGIAS PARA REDUÇÃO DA DISTORÇÃO DA IDADE E SÉRIE.;ESTRATÉGIAS PARA A REDUÇÃO DA DISTORÇÃO DA IDADE E SÉRIE
ANÁLISE TÉCINICO-PEDAGÓGICO SOBRE PLANO DE CARREIRA E REMUNERAÇÃO DO MAGISTÉRIO;PLANO DE CARREIRA E REMUNERAÇÃO DO MAGISTÉRIO
ANÁLISE TÉCNICO-PEDAGÓGICA SOBRE PRÁTICAS E PROGRAMAS DE PREVENÇÃO À VIOLÊNCIA ESCOLAR; PRÁTICAS E PROGRAMAS DE PREVENÇÃO À VIOLÊNCIA ESCOLAR
MPEDUC;MPEDUC
PGA;PGA
